Date,Open,High,Low,Close,Adj Close,Volume,,logreturn
3/8/2017,109.169998,109.330002,108.470001,109.300003,107.057335,5244500,,-0.001114042
3/9/2017,109.599998,109.610001,108.910004,109.019997,106.783066,4066900,,0.002264748
3/10/2017,109.580002,109.709999,109.279999,109.589996,107.34137,3488900,,-0.000713854
3/13/2017,109.32,109.800003,109.029999,109.410004,107.165077,3131200,,-0.000277986
3/14/2017,109.279999,109.730003,109.120003,109.339996,107.096504,3630000,,0.006974105
3/15/2017,109.559998,111.230003,109.5,111.110001,108.830193,4973400,,0.000117259
3/16/2017,111.089996,111.199997,110.529999,111.139999,108.859581,4580700,,0.000975762
3/17/2017,111.480003,111.519997,110.93,111.389999,109.104439,6444400,,-0.000936711
3/20/2017,111.150002,111.440002,110.809998,111.150002,108.86937,3382100,,0.002415774
3/21/2017,111.540001,112.309998,111.470001,111.769997,109.476646,5587700,,0.0009703
3/22/2017,112.309998,112.379997,111.57,112.019997,109.721512,3882200,,-0.000931437
3/23/2017,111.949997,112.330002,111.669998,111.779999,109.486443,3208400,,0.001318981
3/24/2017,111.980003,112.25,111.790001,112.120003,109.819466,3913200,,-0.001124766
3/27/2017,111.870003,112.290001,111.57,111.830002,109.535416,3514600,,0.002401097
3/28/2017,111.809998,112.760002,111.639999,112.449997,110.142685,3945400,,-7.72E-05
3/29/2017,112.059998,112.540001,111.970001,112.43,110.123108,2683700,,-0.000966758
3/30/2017,112.290001,112.550003,112,112.18,109.878242,2104900,,-0.001240636
3/31/2017,112.309998,112.470001,111.830002,111.860001,109.564804,3744400,,0
4/3/2017,111.949997,112.360001,111.459999,111.860001,109.564804,3587100,,0.000853304
4/4/2017,111.989998,112.220001,111.629997,112.080002,109.780289,2360700,,-0.000542834
4/5/2017,112.040001,112.589996,111.690002,111.940002,109.643158,2992000,,-0.001398952
4/6/2017,112.120003,112.279999,111.419998,111.580002,109.290543,2740600,,0.000116733
4/7/2017,111.699997,111.959999,111.440002,111.610001,109.319923,2799600,,0.001592467
4/10/2017,111.699997,112.150002,111.410004,112.019997,109.721512,2873200,,-0.001125743
4/11/2017,111.709999,112.080002,111.349998,111.730003,109.437469,3031500,,0.007246756
4/12/2017,112.050003,113.769997,111.900002,113.610001,111.278893,6260300,,-0.00356973
4/13/2017,113.25,113.379997,112.650002,112.68,110.367973,3257300,,0.002459703
4/17/2017,112.739998,113.32,112.68,113.32,110.994835,2917700,,0.003663688
